id,value,location,sample date,measure,month,year
1616891,0,Decha,21-Jan-11,Cyanides,january,2011
1616925,0,Decha,19-Feb-11,Cyanides,february,2011
1616959,0,Decha,17-Mar-11,Cyanides,march,2011
1616987,0,Decha,15-Apr-11,Cyanides,april,2011
1617022,0,Decha,20-May-11,Cyanides,may,2011
1617059,0,Decha,17-Jun-11,Cyanides,june,2011
1617095,0,Decha,20-Jul-11,Cyanides,july,2011
1617124,0,Decha,18-Aug-11,Cyanides,august,2011
1617154,0,Decha,15-Sep-11,Cyanides,september,2011
1617181,0,Decha,13-Oct-11,Cyanides,october,2011
1617207,0,Decha,18-Nov-11,Cyanides,november,2011
1617234,0,Decha,17-Dec-11,Cyanides,december,2011
