id,value,location,sample date,measure,month,year
1967407,1.326,Decha,19-Apr-12,Cyanides,April,2012
1967771,1.54,Decha,15-Dec-12,Cyanides,December,2012
1967317,1.696,Decha,17-Feb-12,Cyanides,Feburary,2012
1967362,1.857,Decha,16-Mar-12,Cyanides,March,2012
1967452,1.96,Decha,19-May-12,Cyanides,May,2012
1967588,2.04,Decha,17-Aug-12,Cyanides,August,2012
1967275,2.155,Decha,20-Jan-12,Cyanides,January,2012
1967633,2.185,Decha,20-Sep-12,Cyanides,September,2012
1967679,2.23,Decha,19-Oct-12,Cyanides,October,2012
1967497,2.452,Decha,17-Jun-12,Cyanides,June,2012
1967725,2.47,Decha,18-Nov-12,Cyanides,November,2012
1967542,3.001,Decha,20-Jul-12,Cyanides,July,2012
