id,value,location,sample date,measure
616546,0.05,Sakda,08-Apr-05,Lead
615765,0.05,Kannika,08-Jul-05,Lead
617802,0.05,Sakda,09-Sep-05,Lead
614021,0.05,Kannika,11-Nov-05,Lead
615968,0.05,Kannika,11-Nov-05,Lead
701159,0.05,Somchair,23-Mar-06,Lead
700394,0.05,Chai,29-Sep-06,Lead
709493,0.05,Kannika,09-Nov-06,Lead
789932,0.05,Boonsri,05-Jul-07,Lead
805035,0.05,Chai,07-Jul-07,Lead
814421,0.05,Kannika,07-Jul-07,Lead
815529,0.05,Kannika,07-Jul-07,Lead
805083,0.05,Chai,19-Jul-07,Lead
807545,0.05,Busarakhan,22-Jul-07,Lead
813306,0.066,Kannika,07-Jul-07,Lead
701117,0.07,Somchair,25-Feb-06,Lead
1006358,0.083,Chai,16-Nov-09,Lead
239152,0.11,Busarakhan,12-Oct-02,Lead
804506,0.119,Chai,18-Jan-07,Lead
503057,0.122,Boonsri,26-Nov-04,Lead
305122,0.132,Sakda,28-Aug-03,Lead
788491,0.169,Boonsri,19-Jul-07,Lead
304078,0.172,Kannika,27-Aug-03,Lead
303372,0.182,Kannika,27-Aug-03,Lead
817710,0.212,Sakda,07-Jul-07,Lead
791432,0.284,Boonsri,19-Jul-07,Lead
1617572,0.3,Achara,11-Jun-11,Lead
303710,0.308,Kannika,27-Aug-03,Lead
2166319,0.31,Decha,18-Aug-13,Lead
788424,0.312,Boonsri,05-Jul-07,Lead
806519,0.345,Somchair,29-Sep-07,Lead
238432,0.36,Somchair,12-Oct-02,Lead
510878,0.367,Kohsoom,19-Dec-04,Lead
1617757,0.4,Achara,14-Sep-11,Lead
1617791,0.4,Achara,28-Sep-11,Lead
2188805,0.4,Kohsoom,12-Dec-13,Lead
502538,0.413,Boonsri,07-May-04,Lead
522519,0.415,Sakda,11-Dec-04,Lead
304755,0.419,Sakda,28-Aug-03,Lead
2627837,0.42,Kohsoom,17-Dec-14,Lead
518730,0.439,Kannika,22-May-04,Lead
814616,0.44,Kannika,13-Oct-07,Lead
304125,0.45,Kannika,25-Oct-03,Lead
293938,0.45,Boonsri,13-Nov-03,Lead
1616896,0.45,Decha,21-Jan-11,Lead
2166430,0.45,Decha,19-Oct-13,Lead
236427,0.5,Chai,15-Apr-02,Lead
1011192,0.5,Achara,15-Jan-09,Lead
1010808,0.5,Decha,21-Jan-09,Lead
1010838,0.5,Decha,17-Feb-09,Lead
1011288,0.5,Achara,19-Mar-09,Lead
1011336,0.5,Achara,17-Apr-09,Lead
1011408,0.5,Achara,12-Jun-09,Lead
1011560,0.5,Achara,11-Oct-09,Lead
1011601,0.5,Achara,19-Nov-09,Lead
1328348,0.5,Achara,20-Feb-10,Lead
1328474,0.5,Achara,16-Apr-10,Lead
1328612,0.5,Achara,16-Jul-10,Lead
1617894,0.5,Achara,11-Nov-11,Lead
1967899,0.5,Achara,17-Feb-12,Lead
1967950,0.5,Achara,17-Mar-12,Lead
1968045,0.5,Achara,19-May-12,Lead
1968175,0.5,Achara,21-Jul-12,Lead
1968210,0.5,Achara,16-Aug-12,Lead
1968270,0.5,Achara,21-Sep-12,Lead
1968347,0.5,Achara,21-Oct-12,Lead
1968382,0.5,Achara,16-Nov-12,Lead
2166595,0.5,Achara,15-Feb-13,Lead
2166632,0.5,Achara,14-Mar-13,Lead
2166670,0.5,Achara,12-Apr-13,Lead
2166708,0.5,Achara,16-May-13,Lead
2166746,0.5,Achara,14-Jun-13,Lead
2166784,0.5,Achara,18-Jul-13,Lead
2166859,0.5,Achara,21-Sep-13,Lead
2166933,0.5,Achara,15-Nov-13,Lead
2166969,0.5,Achara,13-Dec-13,Lead
3385974,0.5,Achara,21-Feb-15,Lead
3445306,0.5,Sakda,14-May-15,Lead
3445858,0.5,Sakda,14-May-15,Lead
3443698,0.5,Kannika,04-Jun-15,Lead
3444251,0.5,Kannika,04-Jun-15,Lead
3444799,0.5,Kannika,04-Jun-15,Lead
3445351,0.5,Sakda,18-Jun-15,Lead
3445903,0.5,Sakda,18-Jun-15,Lead
3446457,0.5,Sakda,18-Jun-15,Lead
3445399,0.5,Sakda,10-Jul-15,Lead
