id,value,location,sample date,measure
2223,9.1,Boonsri,11-Jan-98,Dissolved oxygen
8293,12.1,Kannika,26-Jan-98,Dissolved oxygen
8774,11.07,Kannika,26-Jan-98,Dissolved oxygen
9257,11.48,Kannika,26-Jan-98,Dissolved oxygen
5051,7.9,Chai,31-Jan-98,Dissolved oxygen
5535,8,Chai,31-Jan-98,Dissolved oxygen
6013,8,Chai,31-Jan-98,Dissolved oxygen
2263,11.5,Boonsri,15-Feb-98,Dissolved oxygen
5090,8.04,Chai,20-Feb-98,Dissolved oxygen
5574,8.5,Chai,20-Feb-98,Dissolved oxygen
6052,8.84,Chai,20-Feb-98,Dissolved oxygen
8333,10.4,Kannika,24-Feb-98,Dissolved oxygen
8814,10.4,Kannika,24-Feb-98,Dissolved oxygen
9297,10.4,Kannika,24-Feb-98,Dissolved oxygen
2303,11,Boonsri,12-Mar-98,Dissolved oxygen
5129,8.25,Chai,19-Mar-98,Dissolved oxygen
5613,8.38,Chai,19-Mar-98,Dissolved oxygen
6091,8.31,Chai,19-Mar-98,Dissolved oxygen
8373,11.02,Kannika,21-Mar-98,Dissolved oxygen
8854,9.9,Kannika,21-Mar-98,Dissolved oxygen
9337,11,Kannika,21-Mar-98,Dissolved oxygen
2343,8.4,Boonsri,11-Apr-98,Dissolved oxygen
2706,8.5,Boonsri,11-Apr-98,Dissolved oxygen
4807,3.6,Kohsoom,16-Apr-98,Dissolved oxygen
5168,7.5,Chai,17-Apr-98,Dissolved oxygen
5652,7.7,Chai,17-Apr-98,Dissolved oxygen
6130,7.3,Chai,17-Apr-98,Dissolved oxygen
6491,5.7,Somchair,17-Apr-98,Dissolved oxygen
8413,6.5,Kannika,18-Apr-98,Dissolved oxygen
8894,6.9,Kannika,18-Apr-98,Dissolved oxygen
9377,6.5,Kannika,18-Apr-98,Dissolved oxygen
9866,6.7,Sakda,18-Apr-98,Dissolved oxygen
2385,8.3,Boonsri,09-May-98,Dissolved oxygen
2747,8.5,Boonsri,09-May-98,Dissolved oxygen
5209,6.39,Chai,20-May-98,Dissolved oxygen
5693,6.93,Chai,20-May-98,Dissolved oxygen
6171,6.12,Chai,20-May-98,Dissolved oxygen
8455,6.19,Kannika,26-May-98,Dissolved oxygen
8936,6,Kannika,26-May-98,Dissolved oxygen
9419,6.03,Kannika,26-May-98,Dissolved oxygen
2425,7.5,Boonsri,06-Jun-98,Dissolved oxygen
2787,6.8,Boonsri,06-Jun-98,Dissolved oxygen
4849,2.4,Kohsoom,27-Jun-98,Dissolved oxygen
5249,5.7,Chai,28-Jun-98,Dissolved oxygen
5733,6.1,Chai,28-Jun-98,Dissolved oxygen
6211,5.8,Chai,28-Jun-98,Dissolved oxygen
6532,5.7,Somchair,29-Jun-98,Dissolved oxygen
8495,6,Kannika,29-Jun-98,Dissolved oxygen
8976,6.4,Kannika,29-Jun-98,Dissolved oxygen
9459,6.1,Kannika,29-Jun-98,Dissolved oxygen
9907,6.3,Sakda,30-Jun-98,Dissolved oxygen
