id,value,location,sample date,measure
294484,3.4,Boonsri,09-Oct-03,Sulphates
305193,3.9,Sakda,20-Nov-03,Sulphates
1327971,4.824,Decha,18-Mar-10,Sulphates
1010981,6,Decha,20-Jun-09,Sulphates
242267,8.5,Kannika,18-Dec-02,Sulphates
245742,9.3,Sakda,14-Dec-02,Sulphates
3003,10,Boonsri,07-Nov-98,Sulphates
235521,10.1,Chai,11-May-02,Sulphates
698447,10.3,Chai,23-Apr-06,Sulphates
3282955,10.5,Decha,18-Feb-16,Sulphates
513659,10.52,Chai,16-May-04,Sulphates
511515,10.55,Chai,16-May-04,Sulphates
245052,10.6,Sakda,14-Dec-02,Sulphates
242963,10.7,Kannika,18-Dec-02,Sulphates
299705,10.7,Chai,29-Jan-03,Sulphates
304565,10.7,Sakda,21-Feb-03,Sulphates
3283317,10.7,Decha,14-Oct-16,Sulphates
235659,10.8,Chai,24-Jul-02,Sulphates
303489,10.9,Kannika,24-Jan-03,Sulphates
244995,11,Sakda,26-Oct-02,Sulphates
245687,11,Sakda,26-Oct-02,Sulphates
236832,11,Chai,07-Nov-02,Sulphates
243655,11,Kannika,18-Dec-02,Sulphates
303520,11,Kannika,21-Feb-03,Sulphates
712387,11.2,Sakda,09-Nov-06,Sulphates
2178851,11.4,Chai,05-Dec-13,Sulphates
3294271,11.44,Chai,08-Oct-16,Sulphates
237533,11.5,Chai,13-Jul-02,Sulphates
502608,11.6,Boonsri,11-Jun-04,Sulphates
991665,11.64,Boonsri,13-Dec-09,Sulphates
235926,11.8,Chai,06-Dec-02,Sulphates
513758,12.1,Chai,12-Jul-04,Sulphates
298351,12.2,Chai,29-Jan-03,Sulphates
299738,12.2,Chai,03-Feb-03,Sulphates
236473,12.3,Chai,11-May-02,Sulphates
518844,12.5,Kannika,03-Sep-04,Sulphates
299037,12.6,Chai,29-Jan-03,Sulphates
606215,12.6,Chai,27-Jan-05,Sulphates
590119,12.6,Boonsri,28-May-05,Sulphates
993036,12.61,Boonsri,13-Dec-09,Sulphates
994403,12.61,Boonsri,13-Dec-09,Sulphates
235891,12.7,Chai,07-Nov-02,Sulphates
512681,12.7,Chai,12-Jul-04,Sulphates
3283810,12.7,Achara,22-Oct-16,Sulphates
236689,12.8,Chai,13-Sep-02,Sulphates
511615,12.9,Chai,12-Jul-04,Sulphates
590427,12.9,Boonsri,26-Aug-05,Sulphates
237717,13,Chai,24-Oct-02,Sulphates
243599,13,Kannika,26-Oct-02,Sulphates
244303,13,Sakda,26-Oct-02,Sulphates
299770,13,Chai,28-Feb-03,Sulphates
2180777,13,Chai,05-Dec-13,Sulphates
3283728,13,Achara,20-Aug-16,Sulphates
2179823,13.1,Chai,05-Dec-13,Sulphates
590156,13.2,Boonsri,10-Jun-05,Sulphates
298416,13.4,Chai,28-Feb-03,Sulphates
522325,13.5,Sakda,22-May-04,Sulphates
243627,13.8,Kannika,21-Nov-02,Sulphates
303835,13.8,Kannika,24-Jan-03,Sulphates
592054,13.83,Boonsri,12-Aug-05,Sulphates
242934,13.9,Kannika,21-Nov-02,Sulphates
521560,13.9,Sakda,22-May-04,Sulphates
519511,13.9,Kannika,19-Aug-04,Sulphates
618366,13.9,Sakda,16-Jan-05,Sulphates
603325,14,Chai,27-Jan-05,Sulphates
711422,14,Sakda,09-Nov-06,Sulphates
242238,14.1,Kannika,21-Nov-02,Sulphates
299677,14.1,Chai,17-Jan-03,Sulphates
303867,14.1,Kannika,21-Feb-03,Sulphates
604684,14.1,Chai,27-Jan-05,Sulphates
697226,14.1,Chai,18-Jun-06,Sulphates
590318,14.19,Boonsri,22-Jul-05,Sulphates
513604,14.2,Chai,12-Apr-04,Sulphates
687216,14.2,Boonsri,24-Aug-06,Sulphates
2180714,14.2,Chai,10-Nov-13,Sulphates
3438140,14.2,Chai,09-Jan-15,Sulphates
2218745,14.29,Kannika,08-Jun-12,Sulphates
513951,14.3,Chai,21-Nov-04,Sulphates
512483,14.5,Chai,12-Apr-04,Sulphates
522416,14.5,Sakda,19-Aug-04,Sulphates
245587,14.6,Sakda,20-Jul-02,Sulphates
237811,14.6,Chai,06-Dec-02,Sulphates
512935,14.6,Chai,21-Nov-04,Sulphates
518815,14.8,Kannika,19-Aug-04,Sulphates
520946,14.8,Sakda,03-Sep-04,Sulphates
593719,14.83,Boonsri,12-Aug-05,Sulphates
593609,14.84,Boonsri,08-Jul-05,Sulphates
2567339,14.9,Achara,20-Jun-14,Sulphates
237633,15,Chai,13-Sep-02,Sulphates
802798,15,Chai,18-Jan-07,Sulphates
237417,15.1,Chai,11-May-02,Sulphates
501424,15.1,Boonsri,11-Jun-04,Sulphates
235736,15.2,Chai,13-Sep-02,Sulphates
303125,15.2,Kannika,24-Jan-03,Sulphates
1011121,15.2,Decha,20-Nov-09,Sulphates
3283890,15.2,Achara,10-Dec-16,Sulphates
2186010,15.3,Sakda,12-Oct-13,Sulphates
520915,15.5,Sakda,19-Aug-04,Sulphates
2186423,15.5,Sakda,12-Oct-13,Sulphates
299631,15.53,Chai,14-Dec-03,Sulphates
236868,15.7,Chai,06-Dec-02,Sulphates
520825,15.7,Sakda,22-May-04,Sulphates
616407,15.7,Sakda,16-Jan-05,Sulphates
2185558,15.73,Kannika,08-Sep-13,Sulphates
513810,15.8,Chai,13-Aug-04,Sulphates
521710,15.8,Sakda,03-Sep-04,Sulphates
590372,15.88,Boonsri,12-Aug-05,Sulphates
298384,15.9,Chai,03-Feb-03,Sulphates
700095,16,Chai,18-Jun-06,Sulphates
710432,16.1,Sakda,09-Nov-06,Sulphates
590262,16.26,Boonsri,08-Jul-05,Sulphates
244892,16.3,Sakda,20-Jul-02,Sulphates
299102,16.3,Chai,28-Feb-03,Sulphates
511667,16.3,Chai,13-Aug-04,Sulphates
303677,16.4,Kannika,24-Jul-03,Sulphates
2219962,16.43,Sakda,08-Jun-12,Sulphates
593391,16.5,Boonsri,13-May-05,Sulphates
512816,16.6,Chai,09-Sep-04,Sulphates
304410,16.7,Sakda,28-Aug-03,Sulphates
2625046,16.84,Sakda,22-Aug-14,Sulphates
1005948,16.88,Chai,27-Jun-09,Sulphates
520235,16.9,Kannika,03-Sep-04,Sulphates
592117,16.9,Boonsri,26-Aug-05,Sulphates
2218342,16.94,Kannika,08-Jun-12,Sulphates
2180624,16.99,Chai,04-Oct-13,Sulphates
242210,17,Kannika,26-Oct-02,Sulphates
303158,17,Kannika,21-Feb-03,Sulphates
613526,17,Kannika,16-Jan-05,Sulphates
617344,17,Sakda,16-Jan-05,Sulphates
522386,17.1,Sakda,10-Jul-04,Sulphates
592459,17.1,Boonsri,25-Nov-05,Sulphates
299070,17.2,Chai,03-Feb-03,Sulphates
589832,17.200001,Boonsri,11-Mar-05,Sulphates
1007336,17.37,Chai,27-Jun-09,Sulphates
591871,17.389999,Boonsri,24-Jun-05,Sulphates
235456,17.4,Chai,31-Mar-02,Sulphates
518724,17.4,Kannika,22-May-04,Sulphates
299009,17.5,Chai,17-Jan-03,Sulphates
503829,17.5,Boonsri,09-Jul-04,Sulphates
235637,17.6,Chai,13-Jul-02,Sulphates
519399,17.7,Kannika,22-May-04,Sulphates
304910,17.8,Sakda,21-Feb-03,Sulphates
503765,17.8,Boonsri,11-Jun-04,Sulphates
519546,17.9,Kannika,03-Sep-04,Sulphates
519582,17.9,Kannika,09-Oct-04,Sulphates
1011278,17.9,Achara,19-Mar-09,Sulphates
2625543,18.02,Sakda,22-Aug-14,Sulphates
521636,18.1,Sakda,10-Jul-04,Sulphates
503089,18.1,Boonsri,03-Dec-04,Sulphates
591457,18.1,Boonsri,11-Mar-05,Sulphates
804500,18.1,Chai,18-Jan-07,Sulphates
518784,18.2,Kannika,10-Jul-04,Sulphates
512748,18.2,Chai,13-Aug-04,Sulphates
700146,18.2,Chai,09-Jul-06,Sulphates
591775,18.200001,Boonsri,28-May-05,Sulphates
1008698,18.25,Chai,27-Jun-09,Sulphates
298322,18.3,Chai,17-Jan-03,Sulphates
