,Trading day,Trading_time,Count,Buy Count,Sell Count,pct_buy
0,Friday,07:00,10,9.0,1.0,0.9
1,Friday,08:00,14,13.0,1.0,0.9285714285714286
2,Friday,09:00,9,5.0,4.0,0.5555555555555556
3,Friday,10:00,6,5.0,1.0,0.8333333333333334
4,Friday,11:00,7,6.0,1.0,0.8571428571428571
5,Friday,12:00,10,9.0,1.0,0.9
6,Friday,13:00,26,19.0,7.0,0.7307692307692307
7,Friday,14:00,50,37.0,13.0,0.74
8,Friday,15:00,59,41.0,18.0,0.6949152542372882
9,Friday,16:00,17,8.0,9.0,0.47058823529411764
10,Friday,17:00,27,16.0,11.0,0.5925925925925926
11,Friday,18:00,20,17.0,3.0,0.85
12,Friday,19:00,35,29.0,6.0,0.8285714285714286
13,Friday,20:00,16,11.0,5.0,0.6875
14,Monday,07:00,11,9.0,2.0,0.8181818181818182
15,Monday,08:00,24,9.0,15.0,0.375
16,Monday,09:00,11,7.0,4.0,0.6363636363636364
17,Monday,10:00,6,4.0,2.0,0.6666666666666666
18,Monday,11:00,9,6.0,3.0,0.6666666666666666
19,Monday,12:00,12,7.0,5.0,0.5833333333333334
20,Monday,13:00,38,29.0,9.0,0.7631578947368421
21,Monday,14:00,57,39.0,18.0,0.6842105263157895
22,Monday,15:00,61,51.0,10.0,0.8360655737704918
23,Monday,16:00,47,38.0,9.0,0.8085106382978723
24,Monday,17:00,25,21.0,4.0,0.84
25,Monday,18:00,23,21.0,2.0,0.9130434782608695
26,Monday,19:00,6,5.0,1.0,0.8333333333333334
27,Monday,20:00,15,13.0,2.0,0.8666666666666667
28,Thursday,07:00,19,16.0,3.0,0.8421052631578947
29,Thursday,08:00,18,10.0,8.0,0.5555555555555556
30,Thursday,09:00,8,5.0,3.0,0.625
31,Thursday,10:00,3,1.0,2.0,0.3333333333333333
32,Thursday,11:00,6,3.0,3.0,0.5
33,Thursday,12:00,6,6.0,,1.0
34,Thursday,13:00,19,11.0,8.0,0.5789473684210527
35,Thursday,14:00,95,53.0,42.0,0.5578947368421052
36,Thursday,15:00,48,41.0,7.0,0.8541666666666666
37,Thursday,16:00,53,38.0,15.0,0.7169811320754716
38,Thursday,17:00,24,20.0,4.0,0.8333333333333334
39,Thursday,18:00,13,11.0,2.0,0.8461538461538461
40,Thursday,19:00,24,12.0,12.0,0.5
41,Thursday,20:00,14,13.0,1.0,0.9285714285714286
42,Thursday,21:00,1,,1.0,
43,Tuesday,07:00,17,12.0,5.0,0.7058823529411765
44,Tuesday,08:00,15,12.0,3.0,0.8
45,Tuesday,09:00,13,9.0,4.0,0.6923076923076923
46,Tuesday,10:00,11,7.0,4.0,0.6363636363636364
47,Tuesday,11:00,25,20.0,5.0,0.8
48,Tuesday,12:00,9,8.0,1.0,0.8888888888888888
49,Tuesday,13:00,42,31.0,11.0,0.7380952380952381
50,Tuesday,14:00,90,66.0,24.0,0.7333333333333333
51,Tuesday,15:00,58,45.0,13.0,0.7758620689655172
52,Tuesday,16:00,23,17.0,6.0,0.7391304347826086
53,Tuesday,17:00,34,29.0,5.0,0.8529411764705882
54,Tuesday,18:00,19,15.0,4.0,0.7894736842105263
55,Tuesday,19:00,13,12.0,1.0,0.9230769230769231
56,Tuesday,20:00,9,8.0,1.0,0.8888888888888888
57,Tuesday,21:00,1,1.0,,1.0
58,Wednesday,07:00,23,16.0,7.0,0.6956521739130435
59,Wednesday,08:00,18,9.0,9.0,0.5
60,Wednesday,09:00,10,7.0,3.0,0.7
61,Wednesday,10:00,11,8.0,3.0,0.7272727272727273
62,Wednesday,11:00,16,10.0,6.0,0.625
63,Wednesday,12:00,5,4.0,1.0,0.8
64,Wednesday,13:00,28,18.0,10.0,0.6428571428571429
65,Wednesday,14:00,55,38.0,17.0,0.6909090909090909
66,Wednesday,15:00,61,36.0,25.0,0.5901639344262295
67,Wednesday,16:00,46,40.0,6.0,0.8695652173913043
68,Wednesday,17:00,23,16.0,7.0,0.6956521739130435
69,Wednesday,18:00,31,20.0,11.0,0.6451612903225806
70,Wednesday,19:00,58,42.0,16.0,0.7241379310344828
71,Wednesday,20:00,29,27.0,2.0,0.9310344827586207
