Column1,Trading day,Trading_time,Count,Buy Count,Sell Count,pct_buy
0,Monday,7:00,11,9,2,0.818181818
1,Monday,8:00,24,9,15,0.375
2,Monday,9:00,11,7,4,0.636363636
3,Monday,10:00,6,4,2,0.666666667
4,Monday,11:00,9,6,3,0.666666667
5,Monday,12:00,12,7,5,0.583333333
6,Monday,13:00,38,29,9,0.763157895
7,Monday,14:00,57,39,18,0.684210526
8,Monday,15:00,61,51,10,0.836065574
9,Monday,16:00,47,38,9,0.808510638
10,Monday,17:00,25,21,4,0.84
11,Monday,18:00,23,21,2,0.913043478
12,Monday,19:00,6,5,1,0.833333333
13,Monday,20:00,15,13,2,0.866666667
14,Tuesday,7:00,17,12,5,0.705882353
15,Tuesday,8:00,15,12,3,0.8
16,Tuesday,9:00,13,9,4,0.692307692
17,Tuesday,10:00,11,7,4,0.636363636
18,Tuesday,11:00,25,20,5,0.8
19,Tuesday,12:00,9,8,1,0.888888889
20,Tuesday,13:00,42,31,11,0.738095238
21,Tuesday,14:00,90,66,24,0.733333333
22,Tuesday,15:00,58,45,13,0.775862069
23,Tuesday,16:00,23,17,6,0.739130435
24,Tuesday,17:00,34,29,5,0.852941176
25,Tuesday,18:00,19,15,4,0.789473684
26,Tuesday,19:00,13,12,1,0.923076923
27,Tuesday,20:00,9,8,1,0.888888889
28,Tuesday,21:00,1,1,,1
29,Wednesday,7:00,23,16,7,0.695652174
30,Wednesday,8:00,18,9,9,0.5
31,Wednesday,9:00,10,7,3,0.7
32,Wednesday,10:00,11,8,3,0.727272727
33,Wednesday,11:00,16,10,6,0.625
34,Wednesday,12:00,5,4,1,0.8
35,Wednesday,13:00,28,18,10,0.642857143
36,Wednesday,14:00,55,38,17,0.690909091
37,Wednesday,15:00,61,36,25,0.590163934
38,Wednesday,16:00,46,40,6,0.869565217
39,Wednesday,17:00,23,16,7,0.695652174
40,Wednesday,18:00,31,20,11,0.64516129
41,Wednesday,19:00,58,42,16,0.724137931
42,Wednesday,20:00,29,27,2,0.931034483
43,Thursday,7:00,19,16,3,0.842105263
44,Thursday,8:00,18,10,8,0.555555556
45,Thursday,9:00,8,5,3,0.625
46,Thursday,10:00,3,1,2,0.333333333
47,Thursday,11:00,6,3,3,0.5
48,Thursday,12:00,6,6,,1
49,Thursday,13:00,19,11,8,0.578947368
50,Thursday,14:00,95,53,42,0.557894737
51,Thursday,15:00,48,41,7,0.854166667
52,Thursday,16:00,53,38,15,0.716981132
53,Thursday,17:00,24,20,4,0.833333333
54,Thursday,18:00,13,11,2,0.846153846
55,Thursday,19:00,24,12,12,0.5
56,Thursday,20:00,14,13,1,0.928571429
57,Thursday,21:00,1,,1,
58,Friday,7:00,10,9,1,0.9
59,Friday,8:00,14,13,1,0.928571429
60,Friday,9:00,9,5,4,0.555555556
61,Friday,10:00,6,5,1,0.833333333
62,Friday,11:00,7,6,1,0.857142857
63,Friday,12:00,10,9,1,0.9
64,Friday,13:00,26,19,7,0.730769231
65,Friday,14:00,50,37,13,0.74
66,Friday,15:00,59,41,18,0.694915254
67,Friday,16:00,17,8,9,0.470588235
68,Friday,17:00,27,16,11,0.592592593
69,Friday,18:00,20,17,3,0.85
70,Friday,19:00,35,29,6,0.828571429
71,Friday,20:00,16,11,5,0.6875
