,Trading day,Trading_time,Count,Buy Count,Returns,Sell Count,pct_buy
0,Sunday,7:00,10,6,61.53,4,0.6
1,Sunday,8:00,2,1,-31.5,1,0.5
2,Sunday,9:00,4,4,0,,1
3,Sunday,10:00,3,2,21.79,1,0.666666667
4,Sunday,11:00,6,5,19.38,1,0.833333333
5,Sunday,12:00,5,5,0,,1
6,Sunday,13:00,21,12,111.69,9,0.571428571
7,Sunday,14:00,36,23,564.73,13,0.638888889
8,Sunday,15:00,32,25,-201.87,7,0.78125
9,Sunday,16:00,4,4,0,,1
10,Sunday,17:00,10,5,279.69,5,0.5
11,Sunday,18:00,8,7,65.02,1,0.875
12,Sunday,19:00,4,4,0,,1
13,Sunday,20:00,5,4,41.09,1,0.8
14,Monday,7:00,19,16,-3.96,3,0.842105263
15,Monday,8:00,26,12,-1727.07,14,0.461538462
16,Monday,9:00,10,5,365.01,5,0.5
17,Monday,10:00,5,3,4.9,2,0.6
18,Monday,11:00,6,4,10.04,2,0.666666667
19,Monday,12:00,9,7,0.63,2,0.777777778
20,Monday,13:00,34,26,226.53,8,0.764705882
21,Monday,14:00,51,34,541.41,17,0.666666667
22,Monday,15:00,55,48,729.74,7,0.872727273
23,Monday,16:00,33,29,9.1,4,0.878787879
24,Monday,17:00,20,15,87.3,5,0.75
25,Monday,18:00,14,13,27.39,1,0.928571429
26,Monday,19:00,5,4,15.01,1,0.8
27,Monday,20:00,13,11,113.21,2,0.846153846
28,Tuesday,7:00,12,8,308.57,4,0.666666667
29,Tuesday,8:00,11,9,4.47,2,0.818181818
30,Tuesday,9:00,9,5,30.12,4,0.555555556
31,Tuesday,10:00,12,8,38.36,4,0.666666667
32,Tuesday,11:00,15,10,7.27,5,0.666666667
33,Tuesday,12:00,6,6,0,,1
34,Tuesday,13:00,30,26,-86.18,4,0.866666667
35,Tuesday,14:00,77,51,678.81,26,0.662337662
36,Tuesday,15:00,51,35,60.27,16,0.68627451
37,Tuesday,16:00,19,14,8.29,5,0.736842105
38,Tuesday,17:00,31,27,-31.9,4,0.870967742
39,Tuesday,18:00,14,12,9.81,2,0.857142857
40,Tuesday,19:00,18,14,311.56,4,0.777777778
41,Tuesday,20:00,13,12,0.74,1,0.923076923
42,Wednesday,7:00,17,13,173.41,4,0.764705882
43,Wednesday,8:00,18,9,574.67,9,0.5
44,Wednesday,9:00,11,7,694.42,4,0.636363636
45,Wednesday,10:00,7,5,49.68,2,0.714285714
46,Wednesday,11:00,18,13,964.5,5,0.722222222
47,Wednesday,12:00,8,7,7.98,1,0.875
48,Wednesday,13:00,13,5,48.58,8,0.384615385
49,Wednesday,14:00,40,31,1272.71,9,0.775
50,Wednesday,15:00,43,32,-538.01,11,0.744186047
51,Wednesday,16:00,30,27,-215.93,3,0.9
52,Wednesday,17:00,18,11,19.37,7,0.611111111
53,Wednesday,18:00,27,17,503.57,10,0.62962963
54,Wednesday,19:00,42,30,290.84,12,0.714285714
55,Wednesday,20:00,20,18,-418.07,2,0.9
56,Wednesday,21:00,1,1,0,,1
57,Thursday,7:00,11,9,10.24,2,0.818181818
58,Thursday,8:00,24,17,371.76,7,0.708333333
59,Thursday,9:00,5,3,28.54,2,0.6
60,Thursday,10:00,5,3,29.87,2,0.6
61,Thursday,11:00,6,4,33.76,2,0.666666667
62,Thursday,12:00,7,5,11.9,2,0.714285714
63,Thursday,13:00,29,19,114.23,10,0.655172414
64,Thursday,14:00,78,48,-357.89,30,0.615384615
65,Thursday,15:00,40,31,415.47,9,0.775
66,Thursday,16:00,52,37,608.73,15,0.711538462
67,Thursday,17:00,25,19,147.12,6,0.76
68,Thursday,18:00,21,17,161.74,4,0.80952381
69,Thursday,19:00,24,21,100.73,3,0.875
70,Thursday,20:00,14,12,26.97,2,0.857142857
71,Thursday,21:00,1,,5.06,1,
72,Friday,7:00,11,10,4.44,1,0.909090909
73,Friday,8:00,8,5,6.55,3,0.625
74,Friday,9:00,12,9,20.51,3,0.75
75,Friday,10:00,6,5,3.24,1,0.833333333
76,Friday,11:00,12,9,19.27,3,0.75
77,Friday,12:00,7,4,27.24,3,0.571428571
78,Friday,13:00,22,17,58.98,5,0.772727273
79,Friday,14:00,62,43,181.68,19,0.693548387
80,Friday,15:00,48,36,-430.7,12,0.75
81,Friday,16:00,27,17,196.11,10,0.62962963
82,Friday,17:00,24,20,104.88,4,0.833333333
83,Friday,18:00,14,13,1.02,1,0.928571429
84,Friday,19:00,32,20,119.84,12,0.625
85,Friday,20:00,16,13,43.72,3,0.8125
86,Saturday,13:00,4,3,0.57,1,0.75
87,Saturday,14:00,7,5,-175.65,2,0.714285714
88,Saturday,15:00,15,6,224.34,9,0.4
89,Saturday,16:00,21,13,1.76,8,0.619047619
90,Saturday,17:00,5,5,0,,1
91,Saturday,18:00,9,6,49.18,3,0.666666667
92,Saturday,19:00,11,7,89.41,4,0.636363636
93,Saturday,20:00,2,2,0,,1
