,ISIN,Ticker Symbol,Shares,Exchange rate,Result,Total amount,Withholding tax,Currency (Withholding tax),Charge amount (GBP),Stamp duty (GBP),Stamp duty reserve tax (GBP),Transaction fee (GBP),Notes,Order ID,French transaction tax,Execution_Price,Trading day,Trading time,Type,Price
1,GB00BDR05C01,NG,1.0,100.0,,9.19,,,,,0.05,,,EOF155067316,,914.6,2020-03-20,09:53:00,Buy,9.146
4,US2546871060,DIS,1.0,1.17811,,81.56,,,,,,,,EOF155260423,,96.09,2020-03-20,13:30:00,Buy,81.56284217942297
5,US92826C8394,V,0.58,1.17818,,75.88,,,,,,,,EOF155268762,,154.15,2020-03-20,13:31:00,Buy,130.8373932675822
6,US2473617023,DAL,1.0,1.23997,,20.16,,,,,,,,EOF164893808,,25.0,2020-01-04,15:24:00,Buy,20.16177810753486
8,US2473617023,DAL,5.0,1.23917,,97.32,,,,,,,,EOF164951873,,24.12,2020-01-04,16:14:00,Buy,19.46464165530153
9,US2473617023,DAL,2.0,1.22116,,35.81,,,,,,,,EOF166934313,,21.87,2020-03-04,15:53:00,Buy,17.909201087490583
11,NL0000235190,AIR,3.0,1.13391,,143.29,,,,,,,,EOF167385225,0.43,54.0,2020-06-04,07:04:00,Buy,47.62282720850861
12,US02376R1023,AAL,4.0,1.24904,,40.09,,,,,,,,EOF172712517,,12.52,2020-04-13,13:32:00,Buy,10.023698200217767
14,US46131B1008,IVR,16.0,1.24855,,48.43,,,,,,,,EOF172746968,,3.78,2020-04-13,13:36:00,Buy,3.027511913820031
15,US5658491064,MRO,10.0,1.24885,,33.87,,,,,,,,EOF172750863,,4.23,2020-04-13,13:37:00,Buy,3.387116146855107
16,GB0006215205,NEX,10.0,100.0,,27.09,,,,0.13,,,,EOF173470032,,269.6,2020-04-14,07:00:00,Buy,2.696
18,US46131B1008,IVR,10.0,1.22785,,23.37,,,,,,,,EOF181515840,,2.87,2020-04-21,13:30:00,Buy,2.3374190658468055
19,US02376R1023,AAL,3.0,1.23234,,25.56,,,,,,,,EOF183752181,,10.5,2020-04-22,14:58:00,Buy,8.520375870295535
20,NL0000235190,AIR,1.0,1.14479,,44.08,,,,,,,,EOF188446611,,50.47,2020-04-27,14:21:00,Buy,44.08668838826335
22,GB0032089863,NXT,1.0,100.0,,47.24,,,,,0.24,,,EOF195378452,,4700.0,2020-01-05,07:15:00,Buy,47.0
24,GB00B03MM408,RDSB,4.0,100.0,,50.3,,,,,0.25,,,EOF205635405,,1251.4,2020-11-05,09:03:00,Buy,12.514000000000001
25,IE0005042456,ISF,9.0,100.0,,52.48,,,,,,,,EOF205637640,,583.2,2020-11-05,09:04:00,Buy,5.832000000000001
26,US0530151036,ADP,0.2,1.23217,,23.48,,,,,,,,EOF206139309,,144.71,2020-11-05,13:32:00,Buy,117.44320994667945
28,US5246601075,LEG,2.0,1.2276,,45.63,,,,,,,,EOF208675097,,28.01,2020-12-05,17:41:00,Buy,22.816878462039753
29,GB0006215205,NEX,7.0,100.0,,14.28,,,,,0.07,,,EOF209192061,,203.0,2020-05-13,07:23:00,Buy,2.03
30,GB00B1KJJ408,WTB,0.5,100.0,,13.03,,,,,0.06,,,EOF209205108,,2595.0,2020-05-13,07:29:00,Buy,25.95
31,US46131B1008,IVR,3.0,1.22228,,6.15,,,,,,,,EOF210282605,,2.51,2020-05-13,15:41:00,Buy,2.0535392872336944
33,US0970231058,BA,0.4,1.22216,,39.46,,,,,,,,EOF210464072,,120.57,2020-05-13,16:42:00,Buy,98.65320416312103
35,US2473617023,DAL,3.0,1.22179,,48.22,,,,,,,,EOF210666822,,19.64,2020-05-13,18:55:00,Buy,16.074775534257117
36,US95040Q1040,WELL,0.28,1.21912,,10.32,,,,,,,,EOF216387290,,44.96,2020-05-18,16:07:00,Buy,36.87906030579435
38,US95040Q1040,WELL,1.0,1.2181,,38.11,,,,,,,,EOF223160271,,46.43,2020-05-22,13:30:00,Buy,38.11673918397504
39,US7561091049,O,1.0,1.21752,,42.4,,,,,,,,EOF223210639,,51.63,2020-05-22,13:34:00,Buy,42.40587423615218
41,GB0002634946,BA.,10.0,100.0,,50.93,,,,,0.25,,,EOF224872259,,506.8,2020-05-26,07:00:00,Buy,5.0680000000000005
43,GB00B1KJJ408,WTB,1.0,100.0,,24.02,,,,,0.12,,,EOF224908569,,2390.0,2020-05-26,07:02:00,Buy,23.9
44,GB00BN7CG237,AML,140.0,100.0,,68.94,,,,,0.34,,,EOF224930822,,49.0,2020-05-26,07:05:00,Buy,0.49
45,US5021751020,LTC,0.05,1.23345,,1.53,,,,,,,,EOF226124971,,37.85,2020-05-26,13:49:00,Buy,30.686286432364508
48,GB00BZBX0P70,GYM,20.0,100.0,,29.15,,,,,0.15,,,EOF227220403,,145.0,2020-05-27,07:00:00,Buy,1.45
49,GB00B15FWH70,CINE,80.0,100.0,,56.4,,,,,0.28,,,EOF227236780,,70.16,2020-05-27,07:01:00,Buy,0.7016
50,GB00B1722W11,JET2,4.0,100.0,,33.56,,,,,,,,EOF227246824,,839.0,2020-05-27,07:02:00,Buy,8.39
51,US0311621009,AMGN,0.028,1.22584,,5.03,,,,,,,,EOF228413173,,220.28,2020-05-27,13:37:00,Buy,179.69718723487568
53,GB0006215205,NEX,22.0,100.0,,49.44,,,,0.25,,,,EOF229782852,,223.6,2020-05-28,07:06:00,Buy,2.2359999999999998
54,GB00BZBX0P70,GYM,10.0,100.0,2.84,17.34,,,,,,,,EOF230013125,,173.4,2020-05-28,08:16:00,Sell,1.734
55,GB0032089863,NXT,1.0,100.0,2.95,49.95,,,,,,,,EOF230017028,,4995.0,2020-05-28,08:18:00,Sell,49.95
56,GB00B15FWH70,CINE,30.0,100.0,7.01,28.06,,,,,,,,EOF230041271,,93.54,2020-05-28,08:27:00,Sell,0.9354
57,NL0000235190,AIR,4.0,1.11307,28.88,215.83,,,,,,,,EOF230260255,,60.06,2020-05-28,10:03:00,Limit,53.9588705112886
58,US46131B1008,IVR,20.0,1.2297,,48.46,,,,,,,,EOF230614352,,2.98,2020-05-28,13:30:00,Buy,2.4233552899081077
59,US0970231058,BA,0.2,1.23006,5.64,25.36,,,,,,,,EOF230667895,,156.03,2020-05-28,13:31:00,Sell,126.84747085508025
60,US2473617023,DAL,2.0,1.22995,6.01,42.65,,,,,,,,EOF230671252,,26.23,2020-05-28,13:31:00,Sell,21.326070165453878
61,NL0000235190,AIR,2.0,1.10641,,104.78,,,,,,,,EOF232242584,,57.97,2020-05-29,09:07:00,Buy,52.39468189911516
62,US01609W1027,BABA,1.0,1.23404,,162.06,,,,,,,,EOF232655802,,200.0,2020-05-29,13:30:00,Buy,162.0693008330362
63,US7427181091,PG,1.0,1.23696,,93.37,,,,,,,,EOF233054048,,115.5,2020-05-29,14:52:00,Buy,93.37407838571983
64,US08862E1091,BYND,0.25,1.23167,,25.06,,,,,,,,EOF233108284,,123.48,2020-05-29,15:10:00,Buy,100.25412651115964
65,GB0002634946,BA.,10.0,100.0,,49.79,,,,,0.25,,,EOF233144392,,495.4,2020-05-29,15:23:00,Buy,4.954
67,GB00BD0NVK62,BOWL,40.0,100.0,,73.57,,,,0.37,,,,EOF234036982,,183.0,2020-01-06,07:05:00,Buy,1.83
68,GB00B63QSB39,GRG,4.0,100.0,,74.97,,,,,0.37,,,EOF234326695,,1865.0,2020-01-06,09:19:00,Buy,18.65
69,DE0002635299,EXSH,2.0,1.12625,,25.05,,,,,,,,EOF235894038,,14.1,2020-02-06,07:05:00,Buy,12.519422863485017
71,GB00BVDPPV41,RBG,300.0,100.0,,100.7,,,,,0.5,,,EOF236890713,,33.4,2020-02-06,13:55:00,Buy,0.33399999999999996
75,GB00B63QSB39,GRG,21.0,100.0,,398.04,,,,1.98,,,,EOF240376303,,1886.0,2020-04-06,07:00:00,Buy,18.86
76,GB00BZBX0P70,GYM,225.0,100.0,,404.76,,,,2.01,,,,EOF240390684,,179.0,2020-04-06,07:00:00,Buy,1.79
77,GB0006731235,ABF,20.0,100.0,,391.25,,,,1.95,,,,EOF240391988,,1946.5,2020-04-06,07:00:00,Buy,19.465
78,GB00BN7CG237,AML,600.0,100.0,,404.01,,,,2.01,,,,EOF240483492,,67.0,2020-04-06,07:04:00,Buy,0.67
79,GB00BD0NVK62,BOWL,225.0,100.0,,397.98,,,,1.98,,,,EOF240683900,,176.0,2020-04-06,08:03:00,Buy,1.76
80,GB0032360173,HGM,20.0,100.0,,47.68,,,,,,,,EOF240849355,,238.4,2020-04-06,09:14:00,Buy,2.384
82,US37229T3014,GNUS,60.0,1.25357,,490.6,,,,,,,,EOF241540909,,10.25,2020-04-06,13:40:00,Buy,8.17664749475498
84,US98420U7037,XSPA,70.0,1.26091,,104.92,,,,,,,,EOF242404102,,1.89,2020-04-06,16:30:00,Buy,1.4989174485094099
85,US37229T3014,GNUS,10.0,1.25997,,46.43,,,,,,,,EOF242556836,,5.85,2020-04-06,17:30:00,Buy,4.642967689706897
86,US98420U7037,XSPA,70.0,1.26024,5.06,109.98,,,,,,,,EOF242565055,,1.98,2020-04-06,17:33:00,Sell,1.5711293087031042
87,US98420U7037,XSPA,30.0,1.26037,,50.7,,,,,,,,EOF242594764,,2.13,2020-04-06,17:42:00,Buy,1.689979926529511
88,GB00BVDPPV41,RBG,250.0,100.0,,63.32,,,,,0.32,,,EOF243300352,,25.2,2020-05-06,07:11:00,Buy,0.252
89,US98420U7037,XSPA,30.0,1.26978,11.67,62.37,,,,,,,,EOF244575920,,2.64,2020-05-06,13:38:00,Sell,2.0791003165902757
